Trial,reaction_time,correct_response
1,0.9154075999977067,0
2,0.8512171999900602,0
3,0.7670878999924753,0
4,0.9555934000090929,0
5,0.855913799998234,0
6,0.9231505000061588,0
7,0.6638454000058118,0
8,0.9649117000080878,0
9,0.6852233999961754,0
10,1.0149894000060158,0
11,1.0132121999922674,0
12,0.8577687999932095,0
13,1.234001699995133,0
14,0.7760373000055552,0
15,0.9156828999985009,0
16,0.9875414999987697,0
17,1.6720573000056902,0
18,0.9241427999950247,0
19,0.9297144999873126,0
20,1.7894650000089314,0
21,1.0649307999992743,0
22,0.8957217999995919,0
23,1.1396550000063144,0
24,1.0534267999901203,0
25,1.7982652000064263,0
26,0.8208358999982011,0
27,0.8449530999932904,0
28,0.8144276999955764,0
29,0.8112600999884307,0
30,0.9514380000036908,0
